Contract,Buyer,Supplier,Amount,AwardDate,StartDate,EndDate,PreparatoryPhase,ContractDays,PhaseDays,ContractType
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,39224,2021-05-24,2021-05-24,2022-04-30,0,341,0,Distributed Computing Environment Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,238498,2022-05-30,2022-05-30,2022-06-30,0,31,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,71799,2020-12-15,2021-06-01,2022-05-31,168,364,168,Computer Services Related
Lic/Maint fees Client Software,Other,Microsoft,673367,2021-05-20,2021-05-20,2022-05-19,0,364,0,License/Maintenance Fees Related
Application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,287438,2021-06-02,2021-05-13,2022-05-12,-20,364,20,Database Access Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Defence,Microsoft,260768,2021-05-01,2021-05-01,2022-04-30,0,364,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,95842,2021-04-28,2021-04-28,2022-04-27,0,364,0,Distributed Computing Environment Related
Rental - Other,Other,Microsoft,480250,2021-12-17,2021-12-17,2022-04-19,0,123,0,Other
Data and database access services,Other,Microsoft,50506,2020-05-20,2021-04-01,2022-03-31,316,364,316,Database Access Services Related
Data and database access services,Other,Microsoft,50506,2020-05-20,2021-04-01,2022-03-31,316,364,316,Database Access Services Related
LICENSE/MAINTENANCE FEES FOR NETWORKING SOFTWARE,Transport Canada,Microsoft,756467,2022-03-04,2022-03-04,2022-03-31,0,27,0,License/Maintenance Fees Related
Application software (including COTS) and application development and delivery software,Natural Resources Canada,Microsoft,23419,2021-09-15,2021-09-15,2022-03-31,0,197,0,Database Access Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Defence,Microsoft,1888000,2021-04-01,2021-04-01,2022-03-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for application software,Global Affairs Canada,Microsoft,13893,2021-07-14,2021-07-14,2022-03-31,0,260,0,License/Maintenance Fees Related
Management consulting,Other,Microsoft,77438,2021-03-23,2021-04-01,2022-03-31,9,364,9,Consulting Related
Application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,21757,2021-11-23,2021-11-23,2022-03-31,0,128,0,Database Access Services Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,322016,2021-04-08,2021-04-08,2022-03-31,0,357,0,Computer Services Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,126673,2021-02-16,2021-04-01,2022-03-31,44,364,44,Computer Services Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE (INCLUDING COTS) AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE,Transport Canada,Microsoft,73337,2021-07-15,2021-07-15,2022-03-31,0,259,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,303590,2021-04-26,2021-04-26,2022-03-31,0,339,0,Distributed Computing Environment Related
Networking software,Other,Microsoft,33642,2021-01-18,2021-01-18,2022-03-31,0,437,0,Software Related
License/Maintenance fees for client software relat,Global Affairs Canada,Microsoft,4222395,2021-04-01,2021-04-01,2022-03-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for application software,Global Affairs Canada,Microsoft,340340,2021-04-01,2021-04-01,2022-03-31,0,364,0,License/Maintenance Fees Related
Computer services,Other,Microsoft,35517,2021-08-01,2021-08-01,2022-03-31,0,242,0,Computer Services Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,28592,2021-04-01,2021-04-01,2022-03-31,0,364,0,Distributed Computing Environment Related
License/Maintenance fees for Client Software,Other,Microsoft,57133,2020-05-25,2020-05-25,2022-03-31,0,675,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliver,Other,Microsoft,125146,2021-12-20,2021-12-20,2022-03-31,0,101,0,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,86509,2021-04-01,2021-04-01,2022-03-31,0,364,0,License/Maintenance Fees Related
Application Software (including COTS) and Application Development and Delivery Software,Other,Microsoft,83338,2021-05-11,2021-04-01,2022-03-31,-40,364,40,Software Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,200010,2021-03-19,2021-04-01,2022-03-31,13,364,13,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES FOR CLIENT SOFTWARE,Other,Microsoft,200010,2021-05-12,2021-05-12,2022-03-31,0,323,0,License/Maintenance Fees Related
License-Maintenance fees for Client Software,Other,Microsoft,706172,2021-02-10,2021-02-10,2022-03-31,0,414,0,Software Related
"Operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,361600,2022-03-09,2022-03-09,2022-03-31,0,22,0,Software Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,608830,2021-04-01,2021-04-01,2022-03-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for client sfotware related to Distributed Computing Environment (DCE),Other,Microsoft,14616,2021-04-01,2021-04-01,2022-03-31,0,364,0,License/Maintenance Fees Related
"Medical supplies, etc",Other,Microsoft,11388,2021-04-06,2021-04-06,2022-03-31,0,359,0,Other
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,47912,2022-03-12,2022-03-12,2022-03-31,0,19,0,Computer Services Related
Application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,623129,2021-06-02,2021-06-02,2022-03-31,0,302,0,Database Access Services Related
Information technology and telecommunications consultants,Other,Microsoft,950048,2021-03-12,2021-04-01,2022-03-31,20,364,20,Consulting Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,230623,2021-04-01,2021-04-01,2022-03-31,0,364,0,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,230623,2021-04-01,2021-04-01,2022-03-31,0,364,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,21996,2021-11-01,2021-11-01,2022-03-31,0,150,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,27927,2021-04-01,2021-04-01,2022-03-31,0,364,0,License/Maintenance Fees Related
Computer services,Other,Microsoft,626991,2021-08-19,2021-08-19,2022-03-31,0,224,0,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,792079,2021-04-01,2021-04-01,2022-03-31,0,364,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,166675,2021-04-01,2021-04-01,2022-03-31,0,364,0,Computer Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,66670,2021-07-13,2021-06-01,2022-03-31,-42,303,42,License/Maintenance Fees Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Employment and Social Development Canada,Microsoft,2871542,2022-01-05,2021-12-15,2022-03-31,-21,106,21,Production and Operation Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,26005,2021-06-02,2021-05-14,2022-03-31,-19,321,19,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,66670,2021-07-13,2021-06-01,2022-03-31,-42,303,42,License/Maintenance Fees Related
Application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,12065,2021-05-17,2021-05-17,2022-03-31,0,318,0,Database Access Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,135700,2021-02-24,2021-04-01,2022-03-31,36,364,36,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,73337,2021-04-01,2021-04-01,2022-03-31,0,364,0,Distributed Computing Environment Related
Information technology and telecommunications consultants,Other,Microsoft,73337,2021-09-28,2021-10-01,2022-03-31,3,181,3,Consulting Related
Information Technology Managed Services,Other,Microsoft,11661,2021-03-16,2021-03-16,2022-03-31,0,380,0,Other
License/Maintenance fees for client software relat,Global Affairs Canada,Microsoft,529360,2021-04-01,2021-04-01,2022-03-31,0,364,0,License/Maintenance Fees Related
Application Software (including COTS) and Application Development and Delivery Software,Other,Microsoft,413354,2021-04-12,2021-04-01,2022-03-31,-11,364,11,Software Related
Application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,173422,2021-03-25,2021-03-31,2022-03-31,6,365,6,Database Access Services Related
Computer services,Other,Microsoft,11457,2021-09-08,2021-09-08,2022-03-31,0,204,0,Computer Services Related
